country,location,year,population_size,source
Russia,Sverdlovsk_Oblast,2010,4297747,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Tambov_Oblast,2010,1091994,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Tatarstan,2010,3786488,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Tomsk_Oblast,2010,524669,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Tula_Oblast,2010,1553925,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Tuva,2010,307930,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Tver_Oblast,2010,403606,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Tyumen_Oblast,2010,581907,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Udmurtia,2010,1521420,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Ulyanovsk_Oblast,2010,1292799,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Vladimir_Oblast,2010,1443693,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Volgograd_Oblast,2010,2610161,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Vologda_Oblast,2010,301755,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Voronezh_Oblast,2010,2335380,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Yamalo_Nenets_Autonomous_Okrug,2010,522904,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
Russia,Yaroslavl_Oblast,2010,1272468,https://www.gks.ru/free_doc/new_site/perepis2010/croc/perepis_itogi1612.htm
